scan_index,test_gray,power_frame_1,power_frame_2,power_frame_3,power_mean,power_std,background_frame_1,background_frame_2,background_frame_3,background_mean,peak_frame_1,peak_frame_2,peak_frame_3,peak_max,saturated_frame_1,saturated_frame_2,saturated_frame_3,saturated_total,elapsed_s
120,135,3839322.0,3841194.0,3837412.0,3839309.3333333335,1891.0318171129043,0.0,0.0,0.0,0.0,125,126,125,126,0,0,0,0,176.82164059999923
121,134,3932296.0,3930623.0,3927926.0,3930281.6666666665,2204.905062204115,0.0,0.0,0.0,0.0,132,127,128,132,0,0,0,0,178.29669339999964
122,133,4018225.0,4019604.0,4023290.0,4020373.0,2618.602107995791,0.0,0.0,0.0,0.0,132,134,133,134,0,0,0,0,179.76629219999995
123,132,4109992.0,4106874.0,4114036.0,4110300.6666666665,3590.9632876615897,0.0,0.0,0.0,0.0,130,133,135,135,0,0,0,0,181.24620849999883
124,131,4206357.0,4197876.0,4197342.0,4200525.0,5057.7126252882335,0.0,0.0,0.0,0.0,136,135,140,140,0,0,0,0,182.7337013999986
125,130,4283822.0,4288170.0,4282722.0,4284904.666666667,2880.8508002556,0.0,0.0,0.0,0.0,139,139,139,139,0,0,0,0,184.19249639999907
126,129,4377158.0,4371820.0,4375338.0,4374772.0,2713.6374112987164,0.0,0.0,0.0,0.0,143,143,140,143,0,0,0,0,185.65811739999845
127,128,4463792.0,4462109.0,4466342.0,4464081.0,2131.246818179443,0.0,0.0,0.0,0.0,145,143,145,145,0,0,0,0,187.13534479999907
128,127,4550522.0,4557330.0,4552089.0,4553313.666666667,3565.3993231240356,0.0,0.0,0.0,0.0,145,147,146,147,0,0,0,0,188.5955944999987
129,126,4631343.0,4639882.0,4633028.0,4634751.0,4522.739988104556,0.0,0.0,0.0,0.0,152,152,149,152,0,0,0,0,190.0673184999996
130,125,4720733.0,4724233.0,4721708.0,4722224.666666667,1806.2968563703291,0.0,0.0,0.0,0.0,152,152,152,152,0,0,0,0,191.54078859999936
131,124,4808026.0,4806768.0,4807081.0,4807291.666666667,654.924677602954,0.0,0.0,0.0,0.0,152,155,151,155,0,0,0,0,192.9876867999992
132,123,4890115.0,4887622.0,4888700.0,4888812.333333333,1250.2904995773317,0.0,0.0,0.0,0.0,154,156,157,157,0,0,0,0,194.4453259999991
133,122,4977794.0,4968653.0,4967757.0,4971401.333333333,5554.308627843193,0.0,0.0,0.0,0.0,156,156,153,156,0,0,0,0,195.8974105999987
134,121,5052478.0,5056760.0,5055442.0,5054893.333333333,2193.093097279122,0.0,0.0,0.0,0.0,160,159,158,160,0,0,0,0,197.34315529999913
135,120,5134651.0,5137456.0,5140700.0,5137602.333333333,3027.1538337741167,0.0,0.0,0.0,0.0,159,162,162,162,0,0,0,0,198.80576219999966
136,119,5223855.0,5216979.0,5218765.0,5219866.333333333,3567.848838352507,0.0,0.0,0.0,0.0,169,164,168,169,0,0,0,0,200.28583219999928
137,118,5300438.0,5291134.0,5298870.0,5296814.0,4981.10991647444,0.0,0.0,0.0,0.0,165,168,167,168,0,0,0,0,201.76393749999988
138,117,5371991.0,5367269.0,5373461.0,5370907.0,3235.198293768096,0.0,0.0,0.0,0.0,168,169,170,170,0,0,0,0,203.22878899999887
139,116,5443514.0,5445115.0,5440538.0,5443055.666666667,2322.667503826868,0.0,0.0,0.0,0.0,172,169,169,172,0,0,0,0,204.71248269999887
140,115,5508938.0,5512300.0,5513006.0,5511414.666666667,2173.7104989702134,0.0,0.0,0.0,0.0,170,172,172,172,0,0,0,0,206.12375839999913
141,114,5577252.0,5577931.0,5573570.0,5576251.0,2346.5039953087658,0.0,0.0,0.0,0.0,172,175,176,176,0,0,0,0,207.6034534999999
142,113,5630294.0,5641816.0,5638558.0,5636889.333333333,5939.482918010063,0.0,0.0,0.0,0.0,174,172,176,176,0,0,0,0,209.0665427999993
143,112,5703609.0,5703913.0,5702191.0,5703237.666666667,919.0959326062397,0.0,0.0,0.0,0.0,174,172,172,174,0,0,0,0,210.55062029999863
144,111,5758493.0,5760255.0,5763099.0,5760615.666666667,2324.0846226704684,0.0,0.0,0.0,0.0,176,177,179,179,0,0,0,0,212.02188489999935
145,110,5812557.0,5810462.0,5807349.0,5810122.666666667,2620.5297810430116,0.0,0.0,0.0,0.0,175,177,174,177,0,0,0,0,213.49769860000015
146,109,5859975.0,5862226.0,5858453.0,5860218.0,1898.2015172262402,0.0,0.0,0.0,0.0,177,177,176,177,0,0,0,0,214.94895819999874
147,108,5906833.0,5907869.0,5896841.0,5903847.666666667,6090.021127494824,0.0,0.0,0.0,0.0,180,176,178,180,0,0,0,0,216.37960459999886
148,107,5947880.0,5945689.0,5944953.0,5946174.0,1522.580375546723,0.0,0.0,0.0,0.0,177,182,179,182,0,0,0,0,217.82387740000013
149,106,5987732.0,5990518.0,5984285.0,5987511.666666667,3122.3360378622497,0.0,0.0,0.0,0.0,180,178,184,184,0,0,0,0,219.28702369999883
150,105,6021096.0,6021216.0,6018160.0,6020157.333333333,1730.7817116359108,0.0,0.0,0.0,0.0,180,182,183,183,0,0,0,0,220.7507888
151,104,6049408.0,6046483.0,6047524.0,6047805.0,1482.6081748054676,0.0,0.0,0.0,0.0,177,180,184,184,0,0,0,0,222.22288619999927
152,103,6079330.0,6075044.0,6071156.0,6075176.666666667,4088.61459828795,0.0,0.0,0.0,0.0,181,184,178,184,0,0,0,0,223.70677669999895
153,102,6103675.0,6096095.0,6094133.0,6097967.666666667,5039.107196055004,0.0,0.0,0.0,0.0,181,178,176,181,0,0,0,0,225.1777707000001
154,101,6122798.0,6112372.0,6112402.0,6115857.333333333,6010.81236883446,0.0,0.0,0.0,0.0,181,179,184,184,0,0,0,0,226.65049349999936
155,100,6125124.0,6131547.0,6132268.0,6129646.333333333,3933.012119652485,0.0,0.0,0.0,0.0,182,178,184,184,0,0,0,0,228.12185979999958
156,99,6143769.0,6140559.0,6139914.0,6141414.0,2064.830501518224,0.0,0.0,0.0,0.0,180,179,180,180,0,0,0,0,229.58350280000013
157,98,6139231.0,6139869.0,6140435.0,6139845.0,602.358697123234,0.0,0.0,0.0,0.0,180,181,180,181,0,0,0,0,231.0451725999992
158,97,6142554.0,6143641.0,6137261.0,6141152.0,3413.2540192607994,0.0,0.0,0.0,0.0,178,176,177,178,0,0,0,0,232.49982079999972
159,96,6133754.0,6137410.0,6142138.0,6137767.333333333,4203.406872208939,0.0,0.0,0.0,0.0,175,178,177,178,0,0,0,0,233.9553522999995
160,95,6126908.0,6128995.0,6126508.0,6127470.333333333,1335.4610939047732,0.0,0.0,0.0,0.0,178,176,178,178,0,0,0,0,235.407776
161,94,6109743.0,6110142.0,6110037.0,6109974.0,206.8260138377182,0.0,0.0,0.0,0.0,178,175,177,178,0,0,0,0,236.87223939999967
162,93,6088011.0,6084774.0,6089653.0,6087479.333333333,2482.5717176616135,0.0,0.0,0.0,0.0,175,177,175,177,0,0,0,0,238.33834299999944
163,92,6054559.0,6056329.0,6056692.0,6055860.0,1141.2243425374347,0.0,0.0,0.0,0.0,167,174,172,174,0,0,0,0,239.80450070000006
164,91,6022109.0,6027947.0,6020789.0,6023615.0,3809.2345687815027,0.0,0.0,0.0,0.0,168,167,169,169,0,0,0,0,241.25283209999907
165,90,5986142.0,5983808.0,5989284.0,5986411.333333333,2747.9172719231074,0.0,0.0,0.0,0.0,168,171,169,171,0,0,0,0,242.70864849999998
166,89,5939660.0,5937454.0,5940505.0,5939206.333333333,1575.2810331281632,0.0,0.0,0.0,0.0,164,167,167,167,0,0,0,0,244.1686144999985
