gray,time_s,power_raw,reference_power_interpolated,power_corrected,peak,saturated,background
189,37.77372219999961,561377.0,6641494.474698214,0.0845257045893287,21,0,0.0
188,38.30404069999895,590350.0,6639468.936454325,0.08891524392239487,21,0,0.0
187,38.82323139999971,619814.0,6637485.900564149,0.09338083866171668,23,0,0.0
186,39.34476050000012,652548.0,6635493.9332136735,0.09834203852311577,23,0,0.0
185,39.87029149999944,683612.0,6633486.680706267,0.10305470304000307,24,0,0.0
184,40.39607739999883,717535.0,6631478.454614687,0.10820136186986849,25,0,0.0
183,40.92528949999905,752053.0,6629457.142237916,0.11344111348250278,26,0,0.0
182,41.45002319999912,786067.0,6627452.934997911,0.1186077076230867,28,0,0.0
181,41.970623799999885,824443.0,6625464.5140299555,0.12443550157942518,28,0,0.0
180,42.495581299999685,862867.0,6623459.45199145,0.1302743688935191,30,0,0.0
179,43.02394660000027,901238.0,6621441.373946094,0.13610903564685659,31,0,0.0
178,43.54655490000005,940584.0,6619445.284618218,0.1420940818388,32,0,0.0
177,44.06884759999957,982207.0,6617450.400716649,0.14842680194378638,35,0,0.0
176,44.592004299998734,1026694.0,6615452.216788696,0.15519634430953272,35,0,0.0
175,45.64193030000024,1068757.0,6612926.591785721,0.16161634114123719,37,0,0.0
174,46.17128419999972,1113492.0,6612401.049454701,0.16839450476038886,38,0,0.0
173,46.690588299999945,1160596.0,6611885.4845609255,0.1755317757257061,40,0,0.0
172,47.21296919999986,1208649.0,6611366.8650213955,0.18281378490650263,41,0,0.0
171,47.73578540000017,1258851.0,6610847.813316206,0.19042202082829696,43,0,0.0
170,48.25893299999916,1308455.0,6610328.432597237,0.1979409969325685,45,0,0.0
169,48.78386419999879,1360558.0,6609807.281120931,0.2058392842838329,47,0,0.0
168,49.30967039999996,1413037.0,6609285.260944989,0.21379573497149457,48,0,0.0
167,49.83187249999901,1470478.0,6608766.818918024,0.2225041434039799,51,0,0.0
166,50.3475983999997,1525635.0,6608254.806459716,0.23086806497059678,54,0,0.0
165,50.86731949999921,1581542.0,6607738.827568515,0.23934692960344628,53,0,0.0
164,51.38767089999965,1641988.0,6607222.222915738,0.2485141175220527,55,0,0.0
163,51.91270389999954,1703098.0,6606700.970372434,0.25778342438041246,57,0,0.0
162,52.43384429999969,1760576.0,6606183.582400785,0.2665042498501352,59,0,0.0
161,52.967396399999416,1829701.0,6605653.872098557,0.27699014138909467,62,0,0.0
160,53.48521169999913,1891142.0,6605139.785284801,0.2863136983433966,65,0,0.0
159,54.53110829999969,1961483.0,6603963.900102293,0.2970160088200387,65,0,0.0
158,55.053452899999684,2032451.0,6603307.7963107545,0.30779286119837146,68,0,0.0
157,55.57443339999918,2100114.0,6602653.405930596,0.3180712163557833,70,0,0.0
156,56.095568299999286,2171065.0,6601998.821612517,0.3288496497292201,74,0,0.0
155,56.62206319999859,2242945.0,6601337.5047345115,0.33977129610345613,75,0,0.0
154,57.14895729999989,2318286.0,6600675.686431518,0.351219497841034,76,0,0.0
153,57.67972430000009,2393285.0,6600009.003477154,0.3626184447231996,80,0,0.0
152,58.20581239999956,2469974.0,6599348.197570302,0.37427544752213204,81,0,0.0
151,58.72793679999995,2551110.0,6598692.370366392,0.3866084152455117,84,0,0.0
150,59.24630400000024,2624721.0,6598041.262486021,0.3978030593599309,86,0,0.0
149,59.768767800000205,2707885.0,6597385.008970388,0.4104482300666279,89,0,0.0
148,60.2889825000002,2793378.0,6596731.580492169,0.4234487891337837,92,0,0.0
147,60.811088700000255,2875778.0,6596075.776148818,0.4359831659907113,95,0,0.0
146,61.33475769999859,2959905.0,6595418.008812063,0.44878201746201746,97,0,0.0
145,61.86002819999885,3047878.0,6594758.229871813,0.4621667533154197,102,0,0.0
144,62.38383199999953,3133688.0,6594100.293216198,0.47522601426366523,102,0,0.0
143,63.433460999998715,3223989.0,6592138.905715104,0.48906569568868435,106,0,0.0
142,63.955707600000096,3308285.0,6590843.0114159845,0.5019517221499172,107,0,0.0
141,64.48122770000009,3402698.0,6589538.99430671,0.5163787638163906,111,0,0.0
140,65.0063040999994,3494771.0,6588236.0781874675,0.5304562493700847,113,0,0.0
139,65.5276044000002,3583759.0,6586942.532021923,0.5440701786265519,119,0,0.0
138,66.05500239999856,3675528.0,6585633.855121847,0.5581130200764852,119,0,0.0
137,66.57840599999872,3772558.0,6584335.089861572,0.5729596000982559,120,0,0.0
136,67.1075495999994,3867128.0,6583022.081457775,0.5874396215216166,131,0,0.0
135,67.6276332999987,3961805.0,6581731.554143873,0.6019396214216057,129,0,0.0
134,68.14995479999925,4053605.0,6580435.473989103,0.6160086237488289,132,0,0.0
133,68.67219739999928,4151322.0,6579139.589615523,0.630982508191865,135,0,0.0
132,69.19655809999858,4246849.0,6577838.449422729,0.6456298725872027,138,0,0.0
131,69.71051420000003,4346630.0,6576563.127036738,0.6609272831474364,142,0,0.0
130,70.23282969999855,4433873.0,6575267.061770276,0.6743259183766532,141,0,0.0
129,70.75576869999895,4531570.0,6573969.4493609555,0.6893202097920468,147,0,0.0
128,71.28143660000023,4626278.0,6572665.065503138,0.7038663850804115,148,0,0.0
127,72.32806199999868,4720745.0,6569197.618612866,0.7186182048511458,150,0,0.0
126,72.85251779999999,4813261.0,6567022.2738008965,0.7329442172295473,153,0,0.0
125,73.369807699999,4905786.0,6564876.651805211,0.7472777114023926,155,0,0.0
124,73.88991929999975,4993361.0,6562719.3259243565,0.7608676757323745,155,0,0.0
