gray,time_s,power,background,peak,saturated
31,118.66779850000057,139474.0,0.0,6,0
30,119.19688120000046,109141.0,0.0,5,0
29,119.72268020000047,118589.0,0.0,4,0
28,120.25264810000044,173409.0,0.0,5,0
27,120.7820284999998,275298.0,0.0,7,0
26,121.31422089999978,441507.0,0.0,11,0
25,121.83679420000044,633943.0,0.0,14,0
24,122.37536060000002,872624.0,0.0,15,0
23,122.89636160000009,1151520.0,0.0,19,0
22,123.42600350000066,1446425.0,0.0,24,0
21,123.96791550000034,1791214.0,0.0,28,0
20,124.50061929999993,2105167.0,0.0,30,0
19,125.03265680000004,2455917.0,0.0,34,0
18,125.56247340000027,2845487.0,0.0,39,0
17,126.08748500000002,3150551.0,0.0,44,0
16,126.61212740000065,3479026.0,0.0,46,0
15,127.14793800000007,3817846.0,0.0,50,0
14,127.68341930000042,4018186.0,0.0,52,0
13,128.21809930000018,4347529.0,0.0,56,0
12,128.7494483999999,4579341.0,0.0,58,0
11,129.2714534000006,4784068.0,0.0,59,0
10,129.79539100000056,5072728.0,0.0,63,0
9,130.3280521000006,5209512.0,0.0,63,0
8,130.85021440000037,5483812.0,0.0,65,0
7,131.38018350000038,5646527.0,0.0,69,0
6,131.9078741000003,5850799.0,0.0,70,0
5,132.4392097,6112766.0,0.0,74,0
4,132.9657216000005,6304284.0,0.0,74,0
3,133.4983968000006,6622736.0,0.0,77,0
2,134.02483120000034,6894498.0,0.0,82,0
1,134.5524701000004,7019630.0,0.0,81,0
0,135.07971300000008,7162264.0,0.0,80,0
